School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
4346,Kingswood Park Public School,Australia,New South Wales,Penrith,2750,142,Primary School,Penrith,-33.741191,150.711457
4348,Coleambally Central School,Australia,New South Wales,Coleambally,2707,205.6,Central/Community School,Murrumbidgee,-34.804177,145.884407
4354,Faulconbridge Public School,Australia,New South Wales,Faulconbridge ,2776,322,Primary School,Blue Mountains,-33.691022,150.544693
4355,Smithfield West Public School,Australia,New South Wales,Wetherill Park,2164,351,Primary School,Fairfield,-33.857608,150.91788
4357,Pleasant Heights Public School,Australia,New South Wales,Mount Pleasant ,2519,262,Primary School,Wollongong,-34.396188,150.873289
4359,Bilgola Plateau Public School,Australia,New South Wales,Bilgola Plateau ,2107,519,Primary School,Northern Beaches,-33.644021,151.313406
4360,Cartwright Public School,Australia,New South Wales,Cartwright,2168,217,Primary School,Liverpool,-33.925284,150.890943
4364,Toongabbie West Public School,Australia,New South Wales,Toongabbie ,2146,269,Primary School,Parramatta,-33.792593,150.957238
4365,Hornsby North Public School,Australia,New South Wales,Hornsby ,2077,912,Primary School,Hornsby,-33.682646,151.098865
4366,Toongabbie East Public School,Australia,New South Wales,Constitution Hill,2145,67,Primary School,Parramatta,-33.797274,150.980274
4367,Caves Beach Public School,Australia,New South Wales,Caves Beach,2281,408,Primary School,Lake Macquarie,-33.103178,151.638184
4368,Wakehurst Public School,Australia,New South Wales,Belrose ,2085,363,Primary School,Northern Beaches,-33.738527,151.218101
4369,Lewisham Public School,Australia,New South Wales,LEWISHAM,2049,216,Primary School,Inner West,-33.897746,151.146076
4370,Belair Public School,Australia,New South Wales,Adamstown,2289,515,Primary School,Newcastle,-32.946197,151.711766
4371,Queanbeyan East Public School,Australia,New South Wales,Queanbeyan ,2620,232,Primary School,Queanbeyan-Palerang Regional,-35.34542,149.24613
4372,Irrawang Public School,Australia,New South Wales,Raymond Terrace ,2324,333,Primary School,Port Stephens,-32.758624,151.756776
4374,Talbingo Public School,Australia,New South Wales,Talbingo ,2720,6,Primary School,Snowy Valleys,-35.580023,148.300454
4375,Ashmont Public School,Australia,New South Wales,Wagga Wagga ,2650,219,Primary School,Wagga Wagga,-35.124467,147.332815
4377,Baulkham Hills North Public School,Australia,New South Wales,Baulkham Hills ,2153,921,Primary School,The Hills Shire,-33.751927,150.999957
4378,Whalan Public School,Australia,New South Wales,Whalan ,2770,300,Primary School,Blacktown,-33.752917,150.809664
4379,Floraville Public School,Australia,New South Wales,BELMONT,2280,549,Primary School,Lake Macquarie,-33.014211,151.663835
4380,Calare Public School,Australia,New South Wales,ORANGE,2800,657,Primary School,Orange,-33.286947,149.079358
4381,Shelley Public School,Australia,New South Wales,Blacktown ,2148,543,Primary School,Blacktown,-33.789161,150.917863
4382,Jasper Road Public School,Australia,New South Wales,Baulkham Hills ,2153,861,Primary School,The Hills Shire,-33.761316,150.982269
4383,E A Southee Public School,Australia,New South Wales,Cootamundra,2590,115,Primary School,Cootamundra-Gundagai,-34.64182,148.014878
4386,Killarney Heights Public School,Australia,New South Wales,Killarney Heights ,2087,697,Primary School,Northern Beaches,-33.774942,151.216151
4389,Gymea North Public School,Australia,New South Wales,Gymea ,2227,347,Primary School,Sutherland Shire,-34.026457,151.088321
4391,Lansvale East Public School,Australia,New South Wales,Cabramatta,2166,173,Primary School,Fairfield,-33.897993,150.964109
4393,Carlingford West Public School,Australia,New South Wales,Carlingford ,2118,1359,Primary School,Parramatta,-33.78237,151.03717
4394,Queanbeyan South Public School,Australia,New South Wales,Queanbeyan ,2620,394,Primary School,Queanbeyan-Palerang Regional,-35.365541,149.228192
4395,Mount Warrigal Public School,Australia,New South Wales,Warilla ,2528,213,Primary School,Shellharbour,-34.553788,150.84461
4396,Busby West Public School,Australia,New South Wales,Green Valley ,2168,378,Primary School,Liverpool,-33.906099,150.87445
4397,Wyoming Public School,Australia,New South Wales,Wyoming ,2250,363,Primary School,Central Coast,-33.408202,151.355782
4398,Chertsey Primary School,Australia,New South Wales,Springfield ,2250,228,Primary School,Central Coast,-33.429911,151.369267
4399,Hayes Park Public School,Australia,New South Wales,KANAHOOKA,2530,554,Primary School,Wollongong,-34.491584,150.816321
4400,St Ives Park Public School,Australia,New South Wales,St Ives ,2075,192,Primary School,Ku-Ring-Gai,-33.724082,151.178775
4401,Murray Farm Public School,Australia,New South Wales,Carlingford ,2118,978,Primary School,Parramatta,-33.766119,151.040173
4402,Tregear Public School,Australia,New South Wales,Tregear,2770,348,Primary School,Blacktown,-33.745883,150.794321
4403,Bradbury Public School,Australia,New South Wales,Bradbury ,2560,658,Primary School,Campbelltown,-34.085998,150.81269
4404,Narranga Public School,Australia,New South Wales,Coffs Harbour ,2450,650,Primary School,Coffs Harbour,-30.292216,153.10472
4405,Beresford Road Public School,Australia,New South Wales,Greystanes ,2145,677,Primary School,Cumberland,-33.814864,150.942945
4406,Bradfordville Public School,Australia,New South Wales,GOULBURN,2580,288,Primary School,Goulburn Mulwaree,-34.723022,149.739879
4407,Hume Public School,Australia,New South Wales,Lavington ,2641,168,Primary School,Albury,-36.050352,146.947268
4408,Lethbridge Park Public School,Australia,New South Wales,Lethbridge Park,2770,413,Primary School,Blacktown,-33.737964,150.800109
